Job Offer Title,Domain Knowledge,Countries,Area of Expertise,Company,Subjects,Researcher Profile,Hours/Week
Data Analyst , Environmental Analytics , Poland,Ensemble Learning,German Aerospace Center (DLR),Reinforcement Learning,60941: Computer Scientist (f/m/x) - Interactive visualisation of trains of the future and emission...;"First Stage Researcher (R1) ,44
Data Analyst , Quantitative Analysis , Denmark,Recommendation Systems,Deutsches Zentrum für Luft - und Raumfahrt (DLR),Quantum Computing (Emerging),60941: Computer Scientist (f/m/x) - Interactive visualisation of trains of the future and emission...;"Recognised Researcher (R2) ,39
Data Analyst , Image Processing , Ireland,Geospatial Analysis,University of Luxembourg,DevOps Practices for Data Science,Postdoctoral fellow (Research Associate) in the field of clinical and translational medicine...;"First Stage Researcher (R1) ,44
Data Scientist , Text Mining , Norway,Survival Analysis,IST Austria,Cybersecurity in Data Analytics,HR Services & Labor law;"First Stage Researcher (R1)";"IST Austria";"Other";"40";"Austria";"Klosterneuburg";"mailto:recruiting@ist.ac.at";"https://euraxess.ec.europa.eu/jobs/692424",31
Data Scientist , Human Resource Analytics , Sweden,Data Storytelling,Huawei Research Germany,Communication Skills,PhD Student in Automated Malware Analysis (m/f/d);"First Stage Researcher (R1)";"Huawei Research Germany";"Computer science,36
Data Scientist , Fraud Detection , Poland,Feature Selection,Fundación IMDEA Materiales,Problem-Solving Skills,Research Assistant (PhD student);"First Stage Researcher (R1)";"Fundación IMDEA Materiales";"Chemistry ,45
Data Analyst , Machine Learning , Germany,Data Privacy,Jagiellonian University,Critical Thinking,Research senior assistant (adiunkt badawczy);"Recognised Researcher (R2)";"Jagiellonian University";"Chemistry,47
Data Scientist , Spatial Analysis , France,Time Complexity Analysis,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,Adaptability and Learning Agility,PostDoc Plant Bioinformatics;"First Stage Researcher (R1) ,46
Data Scientist , Business Intelligence , Switzerland,Blockchain Analytics,European XFEL,Collaboration and Teamwork,Postdoctoral researcher for serial femtosecond crystallography of membrane proteins (f/m/d);"Recognised Researcher (R2)";"European XFEL";"Physics";"";"Germany";"Schenefeld (Hamburg area)";"https://122.rexx-server.com/rexx-hr/xfel/jobportal/Application/S-399-postdoctoral-researcher-for-serial-femtoseco-794.html";"https://euraxess.ec.europa.eu/jobs/692590",39
Data Analyst , Time Series Analysis , Italy,Bayesian Methods,Faculty of Historical and Cultural Studies,Presentation Skills,Scientific Staff (prae doc);"Recognised Researcher (R2)";"Faculty of Historical and Cultural Studies";"History,37
Data Analyst , Natural Language Processing , France,SVM (Support Vector Machines),Princess Máxima Center for Pediatric Oncology,Storytelling with Data,Bioinformatics Research Scientist The Tytgat & Molenaar groups;"Recognised Researcher (R2)";"Princess Máxima Center for Pediatric Oncology";"Medical sciences ,48
Data Analyst , Data Mining , Norway,Graph Analytics,Luxembourg Institute of Science and Technology (LIST),Attention to Detail,E-2211 - RESEARCHER IN DROUGHT MONITORING AND PREDICTION USING EO DATA;"First Stage Researcher (R1)";"Luxembourg Institute of Science and Technology (LIST)";"Environmental science,49
Data Scientist , Spatial Analysis , Ireland,Pattern Mining,Flanders Institute for Biotechnology (VIB),Decision-Making Skills,Expert Scientist Diagnostics Development;"First Stage Researcher (R1) ,34
Data Scientist , Quantitative Analysis , Germany,Ethical AI,University of Luxembourg,Business Understanding in Data Analysis,Physician-Scientist in Neurology;"First Stage Researcher (R1) ,35
Data Analyst , Sports Analytics , Italy,Clustering Algorithms,Radboud University,Healthcare Analytics,Two Postdoctoral Researchers for Social Studies of Controversies in Nanobiology (# of pos: 2);"Recognised Researcher (R2)";"Radboud University";"Physics";"";"Netherlands";"Nijmegen";"https://www.academictransfer.com/305121/two-postdoctoral-researchers-for-social-studies-of-controversies-in-nanobiology/apply/#apply";"https://euraxess.ec.europa.eu/jobs/694837",45
Data Scientist , Predictive Analytics , Italy,Econometrics,Medical University of Innsbruck,Financial Analysis,Postdoctoral Fellow - Metabolic modeling of lipid diversity;"First Stage Researcher (R1)";"Medical University of Innsbruck";"Medical sciences,31
Data Analyst , Quantitative Analysis , Netherlands,K-Nearest Neighbors,"Ethics in social sciences ,Sociology",Marketing Analytics,"Post-doctoral Fellow, Sau Po Centre on Ageing;""First Stage Researcher (R1) ",34
Data Analyst , Sports Analytics , Norway,Markov Models,European Synchrotron Radiation Facility,E-commerce Analytics,PhD - Microstructure dynamics in steels studied with X-ray diffraction and machine learning;"Recognised Researcher (R2) ,47
Data Analyst , Machine Learning , Switzerland,Data Fusion,AGH University of Science and Technology,Telecommunications Analytics,Postdoc (assistant professor) in the ATLAS experiment group at AGH UST in Krakow;"First Stage Researcher (R1)";"AGH University of Science and Technology";"Physics";"40";"Poland";"Cracow";"mailto:sekretariat@fis.agh.edu.pl";"https://euraxess.ec.europa.eu/jobs/688318",34
Data Analyst , Quantitative Analysis , Netherlands,Data Interpretation,First Stage Researcher (R1),Supply Chain Analytics,PhD position; Statistical models for production ecology;"First Stage Researcher (R1)";"Wageningen University & Research";"Agricultural sciences";"38.0";"Netherlands";"Wageningen";"https://www.academictransfer.com/305594/phd-position-statistical-models-for-production-ecology/apply/#apply";"https://euraxess.ec.europa.eu/jobs/699528",41
Data Scientist , Feature Engineering , United Kingdom,Network Analysis,Jülich Research Centre (FZJ),Energy Sector Analytics,PhD Position - Framework for Meta Data Analysis and Interactive Exploration of large Plant FAIR...;"First Stage Researcher (R1) ,38
Data Analyst , Behavioral Analytics , Poland,Data Structures,Deutsches Zentrum für Luft - und Raumfahrt (DLR),Data Governance,57840: Computer scientist or similar (f/m/x) - Modification of algorithms and methods for the...;"Recognised Researcher (R2) ,31
Data Analyst , Genomic Data Analysis , Ireland,Sentiment Analysis,European Synchrotron Radiation Facility,Statistics and Probability,Linux Engineer Systems Administrator;"Recognised Researcher (R2) ,41
Data Analyst , Deep Learning , United Kingdom,Reinforcement Learning,University of Luxembourg,Machine Learning Algorithms,Ethics and legal researchers in the area of biomedical data sciences (Research...;"First Stage Researcher (R1) ,38
Data Analyst , Data Engineering , Italy,Logistic Regression,Institute of Science and Technology Austria (IST Austria),Data Visualization Techniques,Mass Spectrometry Expert;"First Stage Researcher (R1) ,48
Data Analyst , Econometrics , Finland,Association Rule Mining,University of Tübingen,"Programming Languages (Python, R, SQL)",Senior research scientist (postdoc level);"Recognised Researcher (R2)";"University of Tübingen";"Neurosciences,46
Data Scientist , Social Media Analytics , Belgium,Data Validation,MRC Laboratory of Molecular Biology,"Big Data Technologies (Hadoop, Spark)",Postdoctoral Scientist - Structural Studies - Dr Julian Gough - LMB 1689;"First Stage Researcher (R1) ,32
Data Analyst , Time Series Analysis , Portugal,Unsupervised Learning,European Molecular Biology Laboratory (EMBL),Data Mining and Cleaning,EMDB Resource Manager;"First Stage Researcher (R1) ,43
Data Analyst , Environmental Analytics , Netherlands,Supervised Learning,Physics,Time Series Analysis,"60761: Physicist, Computer Scientist, Data Scientist or similar (f/m/x) - Machine Learning Based...;""First Stage Researcher (R1) ",36
Data Scientist , Statistical Analysis , Sweden,Data Storytelling,Germany,Natural Language Processing (NLP),"60761: Physicist, Computer Scientist, Data Scientist or similar (f/m/x) - Machine Learning Based...;""First Stage Researcher (R1)"";""Deutsches Zentrum für Luft - und Raumfahrt (DLR)"";""Engineering ",46
Data Scientist , Machine Learning , Italy,Python Programming,Leibniz Centre for Agricultural Landscape Research (ZALF),Predictive Modeling,Tenure Track Position for a Scientist or Working Group Leader on ?Soil Erosion...;"First Stage Researcher (R1) ,38
Data Scientist , Fraud Detection , Poland,R Programming,German Aerospace Center (DLR),Feature Engineering,57840: Computer scientist or similar (f/m/x) - Modification of algorithms and methods for the...;"First Stage Researcher (R1) ,44
Data Analyst , Sports Analytics , France,SQL,"Research Center for Molecular Medicine (CeMM), ÖAW",Deep Learning,NGS Technician Biomedical Sequencing Facility (m/f/d);"First Stage Researcher (R1) ,33
Data Analyst , Time Series Analysis , Italy,NoSQL Databases,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,Data Warehousing,PostDoc Animal Bioinformatics;"First Stage Researcher (R1) ,37
Data Scientist , R&D Analytics , Switzerland,Apache Spark,Francis Crick Institute,Statistical Modeling,Senior/Laboratory Research Scientist in Glycoproteomics;"First Stage Researcher (R1) ,43
Data Analyst , Financial Analytics , Sweden,Tableau,Evotec AG,Exploratory Data Analysis (EDA),Research Scientist (f/m/d) - Biophysics/Mass Spectrometry;"First Stage Researcher (R1) ,40
Data Scientist , Healthcare Analytics , Italy,Matplotlib,University of Luxembourg,Web Scraping and Data Collection,Physician-Scientist in Neurology;"First Stage Researcher (R1)";"University of Luxembourg";"Neurosciences";"40";"Luxembourg";"-";"https://uniluxembourg.recruitmentplatform.com/apply.html?jobId=P4CFK026203F3VBQB7V7VV4AO-99567&langCode=en_GB";"https://euraxess.ec.europa.eu/jobs/692478",44
Data Scientist , Healthcare Analytics , United Kingdom,Pandas,Rectorate,Bayesian Methods,Tenure Track;"Established Researcher (R3)";"Rectorate";"Computer science,46
Data Scientist , R&D Analytics , Norway,NumPy,Trilateral Research Ltd,A/B Testing and Experimentation,Finance Administrator;"First Stage Researcher (R1)";"Trilateral Research Ltd";"Other";"40";"Ireland";"Waterford";"mailto:careers@trilateralresearch.com";"https://euraxess.ec.europa.eu/jobs/698899",40
Data Analyst , Genomic Data Analysis , United Kingdom,Scikit-learn,"Chemistry ,Engineering ,Physics","Cloud Computing Platforms (AWS, Azure, GCP)","Staff Scientist, Semiconductor Process Engineer;""First Stage Researcher (R1) ",44
Data Analyst , Customer Analytics , Poland,TensorFlow,KU Leuven,Data Engineering,Computational Cancer Biology;"First Stage Researcher (R1)";"KU Leuven";"Other";"38";"Belgium";"Leuven";"https://easyapply.jobs/r/A9oRvZA1W7twEAENMsK";"https://euraxess.ec.europa.eu/jobs/702759",37
Data Scientist , Sports Analytics , Poland,PyTorch,"International PhD Programme ?Gene Regulation, Epigenetics and Genome Stability?",Geospatial Analysis,PhD position (Ageing...;"First Stage Researcher (R1)";"International PhD Programme ?Gene Regulation,35
Data Scientist , R&D Analytics , France,Jupyter Notebooks,Jan Kochanowski University,"Dashboard Development (Tableau, Power BI)",Assistant;"First Stage Researcher (R1)";"Jan Kochanowski University";"Other";"40";"Poland";"Kielce";"mailto:ifiz@ujk.edu.pl";"https://euraxess.ec.europa.eu/jobs/698343",40
Data Analyst , Econometrics , Netherlands,Dask,Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU),NoSQL Databases,Scientist in the field of bioinformatics (m/f/x);"First Stage Researcher (R1) ,36
Data Scientist , Econometrics , Ireland,Kafka,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt,Version Control (Git),Scientist in the field of bioinformatics (m/f/x);"Recognised Researcher (R2) ,38
Data Scientist , Financial Analytics , Switzerland,Hadoop,Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU),Feature Selection Techniques,Postdoctoral Scientist - Organoid Research (f/m/x);"First Stage Researcher (R1) ,32
Data Analyst , Econometrics , Austria,Data Lakes,Jülich Research Centre (FZJ),Data Ethics and Privacy,PhD position: Model informed data acquisition for emission flux estimation using 4-dimensional...;"First Stage Researcher (R1) ,34
Data Scientist , Time Series Analysis , Netherlands,Data Science Ethics,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt,Data Governance,Postdoctoral Scientist - Organoid Research (f/m/x);"Recognised Researcher (R2) ,50
Data Scientist , Risk Analysis , Finland,Exploratory Data Analysis,Forschungszentrum Jülich,Robotics Process Automation (RPA),PhD Position - Data-Driven Approaches to Rational Designs of Covalent Drugs;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/660791",33
Data Analyst , Spatial Analysis , Portugal,Git Version Control,Jülich Research Centre (FZJ),Graph Databases,PhD Position - Data-Driven Approaches to Rational Designs of Covalent Drugs;"First Stage Researcher (R1) ,35
Data Analyst , Financial Analytics , Portugal,Data Munging,Flanders Make,Distributed Computing,Computer scientist for model driven engineering (# of pos: 3);"Recognised Researcher (R2) ,35
Data Analyst , Image Processing , Norway,Feature Extraction,European Molecular Biology Laboratory (EMBL),Reinforcement Learning,Microbiological standards officer and project coordinator;"First Stage Researcher (R1) ,41
Data Scientist , Information Retrieval , Austria,Deep Reinforcement Learning,IFREMER - Institut Français de Recherche pour l&amp;amp;#039;Exploitation de la MER,Quantum Computing (Emerging),Researcher in pelagic ecology (M/F);"First Stage Researcher (R1) ,34
Data Scientist , Energy Analytics , France,Machine Learning,Ireland,DevOps Practices for Data Science,"Post-Doctoral Researcher - Feminist Digital Humanities (MUAHI), ( 22-month contract / until 30th...;""First Stage Researcher (R1)"";""Maynooth University"";""Arts ",38
Data Scientist , Text Mining , United Kingdom,Statistical Analysis,Inserm,Cybersecurity in Data Analytics,Postdoctoral position in cancer epidemiology;"First Stage Researcher (R1)";"Inserm";"Medical sciences,41
Data Scientist , Fraud Detection , Portugal,Data Mining,Max Planck Institute for Molecular Genetics (MPI-MG),Communication Skills,Postdoctoral Associate / Staff Scientist (m/f/div) Computational Biology;"First Stage Researcher (R1) ,30
Data Scientist , Sports Analytics , Portugal,Data Visualization,University of Luxembourg,Problem-Solving Skills,Software Developer;"First Stage Researcher (R1) ,30
Data Scientist , Network Analysis , Ireland,Big Data Analytics,KINGS COLLEGE LONDON,Critical Thinking,Research Associate: Artificial Intelligence and Digital Twins in Cardiovascular Disease;"Recognised Researcher (R2) ,40
Data Analyst , Customer Analytics , Portugal,Predictive Modeling,Technische Universität Dresden (TU Dresden),Adaptability and Learning Agility,Research Associate / PhD student (m/f/x);"First Stage Researcher (R1) ,32
Data Scientist , Risk Analysis , Sweden,Natural Language Processing,ARQUIMEA GROUP,Collaboration and Teamwork,Senior Machine Learning Engineer (# of pos: 2);"First Stage Researcher (R1) ,43
Data Analyst , Network Analysis , Netherlands,Data Warehousing,CNRS,Presentation Skills,Two-year Postdoc position on the developmental genetic basis of an evolutionary innovation (Khila...;"First Stage Researcher (R1)";"CNRS";"Physics";"35";"France";"LYON 07";"https://emploi.cnrs.fr/Candidat/Offre/UMR5239-MIRFRA-003/Candidater.aspx";"https://euraxess.ec.europa.eu/jobs/701996",41
Data Scientist , R&D Analytics , Portugal,Quantitative Analysis,Centre For Genomic Regulation,Storytelling with Data,Single Cell Genomics ? Computational Biologist;"Recognised Researcher (R2) ,42
Data Analyst , Forecasting , Ireland,Business Intelligence,Forschungszentrum Jülich,Attention to Detail,PhD position: Scientific Discovery in Earth System Science: Applying Deep Learning Technologies in...;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/691843",36
Data Scientist , Social Media Analytics , Switzerland,Deep Learning,University of Luxembourg,Decision-Making Skills,Ethics and legal researchers in the area of biomedical data sciences (Research...;"First Stage Researcher (R1) ,31
Data Scientist , Marketing Analytics , Finland,Data Engineering,Masaryk University - Faculty of Science ? RECETOX,Business Understanding in Data Analysis,Postdoctoral Position in Multiomics data integration;"Recognised Researcher (R2)";"Masaryk University - Faculty of Science ? RECETOX";"Biological sciences,37
Data Scientist , Natural Language Processing , Sweden,Time Series Analysis,ZHEJIANG UNIVERSITY,Healthcare Analytics,Postdoctoral Research Fellow in Plant Phenotyping;"First Stage Researcher (R1) ,41
Data Scientist , Web Analytics , Netherlands,Feature Engineering,DESY,Financial Analysis,Open PhD positions at the International Helmholtz-Weizmann Research School on Multimessenger... (# of pos: 6);"First Stage Researcher (R1)";"DESY";"Astronomy,44
Data Analyst , Fraud Detection , France,Experimental Design,Jülich Research Centre (FZJ),Marketing Analytics,Postdoc ? Transfer Learning Methods for Deep Learning in Scientific Applications;"First Stage Researcher (R1) ,39
Data Scientist , Web Analytics , Finland,Data Preprocessing,HONG KONG BAPTIST UNIVERSITY,E-commerce Analytics,Chair Professor / Professor of Practice / Professor / Associate Professor;"First Stage Researcher (R1) ,39
Data Analyst , Big Data , United Kingdom,Data Cleaning,European Synchrotron Radiation Facility,Telecommunications Analytics,Senior FPGA Engineer;"Recognised Researcher (R2) ,38
Data Scientist , Deep Learning , Finland,Pattern Recognition,UGent,Supply Chain Analytics,PhD Student position MRI based characterization of renal function in chronic kidney disease...;"First Stage Researcher (R1)";"UGent";"Engineering,35
Data Scientist , Information Retrieval , Sweden,Neural Networks,IMEC,Energy Sector Analytics,Principal Member of Technical Staff for next-generation memory subsystem;"First Stage Researcher (R1)";"IMEC";"Engineering";"40";"Belgium";"Heverlee";"https://www.imec.be/nl/je-carriere-bij-imec/vacatures/principal-member-technical-staff-next-generation-memory-subsystem";"https://euraxess.ec.europa.eu/jobs/698240",30
Data Analyst , Statistical Analysis , Sweden,Information Retrieval,CNRS,Data Governance,Post-doc ?Extreme universe studies with CTA? (M/F);"Recognised Researcher (R2)";"CNRS";"Physics";"35";"France";"ANNECY LE VIEUX";"https://emploi.cnrs.fr/Candidat/Offre/UMR5814-CLABOM-061/Candidater.aspx";"https://euraxess.ec.europa.eu/jobs/688462",47
Data Scientist , Econometrics , United Kingdom,A/B Testing,LE STUDIUM,Statistics and Probability,Research fellowship in human skin permeation studies using Raman spectroscopy and data analysis;"Established Researcher (R3) ,30
Data Scientist , Quantitative Analysis , Germany,Text Mining,"Biological sciences ,Medical sciences",Machine Learning Algorithms,"Research Technician, Cancer B-Cell Group;""First Stage Researcher (R1) ",36
Data Scientist , Environmental Analytics , Denmark,Database Management,PETER THE GREAT ST.PETERSBURG POLYTECHNIC UNIVERSITY,Data Visualization Techniques,Head of Laboratory;"First Stage Researcher (R1) ,47
Data Scientist , Big Data , France,Regression Analysis,Leibniz Centre for Agricultural Landscape Research (ZALF),"Programming Languages (Python, R, SQL)",Tenure Track Position for a Scientist or Working Group Leader on ?Trace Gas Biogeochemistry in...;"Recognised Researcher (R2) ,33
Data Analyst , Human Resource Analytics , Germany,Optimization Techniques,Leibniz Centre for Agricultural Landscape Research (ZALF),"Big Data Technologies (Hadoop, Spark)",Tenure Track Position for a Scientist or Working Group Leader on ?Trace Gas Biogeochemistry in...;"First Stage Researcher (R1) ,42
Data Scientist , Data Mining , Sweden,Cluster Analysis,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt,Data Mining and Cleaning,Statistical Consultant (f/m/x);"Recognised Researcher (R2) ,46
Data Analyst , AI Ethics , France,Data Architecture,Human Technopole,Time Series Analysis,Senior Technician of the Biostatistics Unit (statistician/ statistical geneticist) - Population and...;"First Stage Researcher (R1) ,32
Data Analyst , Fraud Detection , Denmark,Decision Trees,Karolinska Institutet,Natural Language Processing (NLP),Postdoctoral studies in translational leukemia/cancer biology (Scholarship);"First Stage Researcher (R1)";"Karolinska Institutet";"Biological sciences ,30
Data Scientist , Time Series Analysis , Netherlands,Random Forests,"Biological sciences ,Chemistry ,Medical sciences",Predictive Modeling,"Research Assistant, Biochemistry;""First Stage Researcher (R1) ",43
Data Analyst , Econometrics , Denmark,Dimensionality Reduction,"Environmental science ,Ethics in health sciences ,Geosciences ,Neurosciences ,Psychological sciences ,Sociology",Feature Engineering,"Research Assistant, Global Asia Institute;""First Stage Researcher (R1) ",32
Data Analyst , AI Ethics , Poland,Anomaly Detection,"Biological sciences ,Medical sciences ,Neurosciences ,Pharmacological sciences ,Psychological sciences",Deep Learning,"Post-Doc position at INSEAD, in collaboration with the Paris Brain Institute (ICM) at Sorbonne...;""Established Researcher (R3) ",36
Data Analyst , Energy Analytics , Switzerland,Model Evaluation,"Faculty of Business, Economics and Statistics",Data Warehousing,University Assistant (prae doc);"First Stage Researcher (R1)";"Faculty of Business,33
Data Analyst , Time Series Analysis , Finland,Data Governance,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,Statistical Modeling,Postdoc Vacancy in the Direction of Computational Biology and Genomic Analysis;"First Stage Researcher (R1) ,34
Data Scientist , Statistical Analysis , Belgium,"ETL (Extract, Transform, Load)",Karlsruhe Institute of Technology (KIT),Exploratory Data Analysis (EDA),A Cloud Architecture for Large-Scale Scientific Experiments;"First Stage Researcher (R1)";"Karlsruhe Institute of Technology (KIT)";"Computer science,37
Data Scientist , Forecasting , Norway,Hypothesis Testing,Radboud University Medical Center (Radboudumc),Web Scraping and Data Collection,Postdoc ?Functional connectivity of the memory engram?;"Recognised Researcher (R2)";"Radboud University Medical Center (Radboudumc)";"Medical sciences";"36.0";"Netherlands";"Nijmegen";"https://www.academictransfer.com/304569/postdoc-functional-connectivity-of-the-memory-engram/apply/#apply";"https://euraxess.ec.europa.eu/jobs/687260",43
Data Analyst , Environmental Analytics , Norway,Web Scraping,,Bayesian Methods,"PostDoc on Machine-Learning and Big Data Engineering (0,8 - 1,0 fte);""Recognised Researcher (R2)"";""Eindhoven University of Technology (TU/e)"";""Technology"";""30.4"";""Netherlands"";""Eindhoven"";""https://www.academictransfer.com/305923/postdoc-on-machine-learning-and-big-data-engineering-08-10-fte/apply/#apply"";""https://euraxess.ec.europa.eu/jobs/703484""",35
Data Analyst , Information Retrieval , United Kingdom,Cloud Computing,Faculty of Computer Science,A/B Testing and Experimentation,University Assistant (prae doc);"First Stage Researcher (R1)";"Faculty of Computer Science";"Computer science,42
Data Analyst , Data Visualization , United Kingdom,Data Ethics,Jülich Research Centre (FZJ),"Cloud Computing Platforms (AWS, Azure, GCP)",PhD Position: Application of Machine Learning to Ranking Exhaustive Enumerations of Molecular...;"First Stage Researcher (R1) ,41
Data Analyst , Data Visualization , Belgium,Causal Inference,Forschungszentrum Jülich,Data Engineering,PhD Position: Application of Machine Learning to Ranking Exhaustive Enumerations of Molecular...;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/698676",50
Data Scientist , Natural Language Processing , Netherlands,Ensemble Learning,MASARYK UNIVERSITY,Geospatial Analysis,Postdoctoral Position in Multiomics Data Integration;"First Stage Researcher (R1) ,35
Data Scientist , Social Media Analytics , Spain,Recommendation Systems,Norwegian Institute for Water Research,"Dashboard Development (Tableau, Power BI)",Researcher in marine biogeochemical/ecosystem/physical modelling;"Recognised Researcher (R2)";"Norwegian Institute for Water Research";"Other";"40";"Norway";"0579 Oslo";"https://www.niva.no/en/vacancies";"https://euraxess.ec.europa.eu/jobs/693962",44
Data Scientist , Feature Engineering , Greece,Geospatial Analysis,Inserm/IMRB/ENS,NoSQL Databases,Post-Doc/Research Engineer position in Data Science/AI for the behavioral analysis of... (# of pos: 3);"First Stage Researcher (R1)";"Inserm/IMRB/ENS";"Language sciences,48
Data Scientist , Quantitative Analysis , Portugal,Survival Analysis,European Molecular Biology Laboratory (EMBL),Version Control (Git),Bioinformatician;"First Stage Researcher (R1) ,46
Data Scientist , Feature Engineering , Greece,Data Storytelling,Agricultural sciences,Feature Selection Techniques,"Research Assistant Professor, Researcher/Scientist in Plant Breeding and Genetics;""First Stage Researcher (R1) ",43
Data Analyst , Data Visualization , Greece,Feature Selection,Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU),Data Ethics and Privacy,IT administrator (f/m/x);"First Stage Researcher (R1) ,45
Data Scientist , Quantitative Analysis , Belgium,Data Privacy,European Synchrotron Radiation Facility,Data Governance,Senior Electronics Engineeer;"Recognised Researcher (R2) ,49
Data Scientist , R&D Analytics , Norway,Time Complexity Analysis,Trilateral Research Ireland and UK,Robotics Process Automation (RPA),Business Administrator;"First Stage Researcher (R1)";"Trilateral Research Ireland and UK";"Other";"40";"United Kingdom";"London";"mailto:careers@trilateralresearch.com";"https://euraxess.ec.europa.eu/jobs/698891",48
Data Scientist , A/B Testing , Portugal,Blockchain Analytics,Centre For Genomic Regulation,Graph Databases,Single Cell Genomics - Lab Technician;"Recognised Researcher (R2) ,46
Data Analyst , Machine Learning , Greece,Bayesian Methods,Wellcome Sanger Institute,Distributed Computing,Database Curators;"First Stage Researcher (R1) ,43
Data Analyst , Energy Analytics , Portugal,SVM (Support Vector Machines),Imperial College London (ICL),Reinforcement Learning,Lecturer/Senior Lecturer in Biomathematics;"First Stage Researcher (R1) ,42
Data Scientist , Information Retrieval , Denmark,Graph Analytics,Eindhoven University of Technology (TU/e),Quantum Computing (Emerging),Assistant Professor - Protein Engineering and AI;"Established Researcher (R3) ,47
Data Scientist , Big Data , Netherlands,Pattern Mining,German Electron Synchrotron (DESY),DevOps Practices for Data Science,Scientist for Xilinx Embedded Software Development;"First Stage Researcher (R1) ,44
Data Scientist , Data Visualization , United Kingdom,Ethical AI,Cancer Research UK Manchester Institute,Cybersecurity in Data Analytics,Postdoctoral Scientist ? Skin Cancer and Ageing Group;"First Stage Researcher (R1) ,38
Data Scientist , Human Resource Analytics , France,Clustering Algorithms,Jülich Research Centre (FZJ),Communication Skills,PhD position - Data-driven Dynamic Reduced-Order Modeling for Energy Systems Optimization;"First Stage Researcher (R1) ,33
Data Analyst , Web Analytics , Greece,Econometrics,Forschungszentrum Jülich,Problem-Solving Skills,PhD position - Data-driven Dynamic Reduced-Order Modeling for Energy Systems Optimization;"First Stage Researcher (R1)";"Forschungszentrum Jülich";"All";"";"Germany";"Jülich";"mailto:karriere@fz-juelich.de";"https://euraxess.ec.europa.eu/jobs/677245",30
Data Analyst , Big Data , Austria,K-Nearest Neighbors,University of Luxembourg,Critical Thinking,PostDoc in Bioinformatics / Machine Learning;"Established Researcher (R3) ,42
Data Analyst , Financial Analytics , Germany,Markov Models,SKOLKOVO INSTITUTE OF SCIENCE AND TECHNOLOGY,Adaptability and Learning Agility,Postdoctoral Research Scientist in Computational Fluid Dynamics and Fluid-Structure Interaction;"First Stage Researcher (R1) ,43
Data Scientist , Energy Analytics , Spain,Data Fusion,University of Copenhagen (UCPH),Collaboration and Teamwork,Staff Scientist for the Rodent Metabolic Phenotyping Platform;"First Stage Researcher (R1) ,37
Data Scientist , Forecasting , Sweden,Data Interpretation,German Center for Neurodegenerative Diseases within the Helmholtz Association (DZNE),Presentation Skills,Post Doc Epidemiology (f/m/x) 1992/2021/8;"First Stage Researcher (R1) ,38
Data Scientist , Financial Analytics , Greece,Network Analysis,"Biological sciences ,Chemistry ,Computer science ,Mathematics ,Neurosciences ,Physics ,Technology",Storytelling with Data,"Fully-Funded Ph.D. Positions in Biology, Computer Science, Data Science...;""First Stage Researcher (R1) ",31
Data Scientist , Supply Chain Analytics , France,Data Structures,Faculty of Historical and Cultural Studies,Attention to Detail,Scientific Staff (prae doc);"Recognised Researcher (R2)";"Faculty of Historical and Cultural Studies";"History,48
Data Analyst , Sports Analytics , Portugal,Sentiment Analysis,"Biological sciences ,Medical sciences",Decision-Making Skills,"Research Assistant, Singapore Gastric Cancer Consortium;""First Stage Researcher (R1) ",48
Data Scientist , R&D Analytics , United Kingdom,Reinforcement Learning,Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU),Business Understanding in Data Analysis,Staff Scientist - Veterinary/ Pathology/ Biology (f/m/x);"First Stage Researcher (R1) ,50
Data Scientist , Econometrics , Norway,Logistic Regression,Helmholtz Zentrum München - Deutsches Forschungszentrum für Gesundheit und Umwelt,Healthcare Analytics,Postdoc on computational biology in the Machine Learning Group (f/m/x);"Recognised Researcher (R2) ,49
Data Scientist , Data Mining , Germany,Association Rule Mining,Helmholtz Zentrum München - German Research Center for Environmental Health (HMGU),Financial Analysis,Postdoc on computational biology in the Machine Learning Group (f/m/x);"First Stage Researcher (R1) ,36
